,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,year,cand_type
0,H2AK00200,"CONSTANT, CHRISTOPHER",C,1,DEM,164637.9,0.0,164637.9,0.0,0.0,0.0,614.85,0.0,0.0,0.0,0.0,143180.09,158023.05,AK,0.0,,,,,,1000.0,5000.0,12/31/2022,8300.0,0.0,2022,H
1,H2AK01158,"PELTOLA, MARY",I,1,DEM,7751293.39,186868.19,7060033.09,0.0,0.0,691260.3,25.0,0.0,0.0,0.0,0.0,0.0,7149826.02,AK,0.0,,,,,,384020.59,10000.0,12/31/2022,136657.7,3912.66,2022,H
2,H2AK01240,"WOOL, ADAM L",O,1,DEM,16217.07,0.0,16217.07,0.0,0.0,0.0,1100.0,0.0,0.0,0.0,0.0,0.0,15117.0,AK,0.0,,,,,,0.0,0.0,07/15/2022,0.0,0.0,2022,H
3,H2AK00218,"REVAK, JOSHUA CARL",O,2,REP,121841.0,0.0,121841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116666.0,AK,0.0,,,,,,5000.0,0.0,09/16/2022,14600.0,0.0,2022,H
4,H2AK00226,"PALIN, SARAH",O,2,REP,1971160.93,112963.43,1924781.35,0.0,0.0,46379.58,0.0,0.0,0.0,0.0,0.0,2525.05,1770697.9,AK,0.0,,,,,,81305.0,0.0,12/31/2022,43128.37,1000.0,2022,H
5,H2AK01059,"PURHAM, RANDY",C,2,REP,1548.51,0.0,5621.6,0.0,140.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1548.51,AK,0.0,,,,,,0.0,0.0,07/27/2022,0.0,0.0,2022,H
6,H2AK01083,"BEGICH, NICHOLAS III",C,2,REP,1640060.27,0.0,1598826.28,0.0,0.0,41233.99,23971.16,650000.0,0.0,200000.0,0.0,450000.0,929235.35,AK,0.0,,,,,,36853.74,0.0,12/31/2022,650.0,0.0,2022,H
7,H2AK01133,"COGHILL, JOHN B JR.",O,2,REP,26425.0,0.0,26425.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26425.0,AK,0.0,,,,,,0.0,0.0,08/13/2022,0.0,0.0,2022,H
8,H2AK01174,"SWEENEY, TARA M",O,2,REP,332195.05,0.0,332195.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,308314.72,AK,0.0,,,,,,21300.0,0.0,11/08/2022,0.0,0.0,2022,H
9,H6AK00045,"YOUNG, DONALD E",I,2,REP,667302.17,170060.53,916475.36,0.0,249173.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203591.43,AK,0.0,,,,,,278500.0,0.0,12/31/2022,13802.0,110603.12,2022,H
10,H2AK01075,"BRELSFORD, GREGG BOWYER MR.",C,3,IND,43826.69,0.0,43376.41,0.0,0.0,450.28,341.93,27000.0,0.0,14000.0,0.0,12000.0,13610.0,AK,0.0,,,,,,0.0,100.0,11/28/2022,0.0,0.0,2022,H
11,H2AK01166,"GROSS, ALAN",O,3,IND,882591.9,175216.9,888083.17,0.0,0.0,-5491.27,0.0,0.0,0.0,0.0,0.0,0.0,691155.94,AK,0.0,,,,,,16000.0,0.0,12/31/2022,198287.5,0.0,2022,H
12,H8AK00140,"GALVIN, ALYSE",C,3,IND,28303.62,1169.54,124897.32,0.0,96593.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AK,0.0,,,,,,0.0,0.0,04/20/2022,0.0,0.0,2022,H
13,H2AK01216,"BYE, CHRIS",O,3,LIB,8018.91,0.0,3940.25,0.0,290.67,4217.51,3721.03,0.0,0.0,0.0,0.0,0.0,4198.61,AK,0.0,,,,,,99.27,0.0,12/08/2022,0.0,0.0,2022,H
14,H2AK01208,"METTLER, SHERRY",O,3,NNE,8350.0,0.0,8350.0,0.0,0.0,0.0,1800.0,5000.0,0.0,0.0,0.0,5000.0,1550.0,AK,0.0,,,,,,0.0,0.0,09/12/2022,0.0,0.0,2022,H
15,H2AK01190,"LOWENFELS, JEFF",O,3,NON,153418.08,0.0,153418.08,0.0,0.0,0.0,25.0,100000.0,0.0,0.0,0.0,100000.0,53393.08,AK,0.0,,,,,,0.0,0.0,08/25/2022,0.0,0.0,2022,H
16,H0AL01097,"AVERHART, JAMES",O,1,DEM,0.0,0.0,1000.0,0.0,1121.71,121.71,0.0,0.0,0.0,0.0,0.0,29245.0,0.0,AL,1.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,2022,H
17,H0AL01055,"CARL, JERRY LEE, JR",I,2,REP,1313718.57,281319.87,971793.34,0.0,111972.59,453897.82,0.0,0.0,0.0,28797.29,0.0,468238.58,532388.69,AL,1.0,,,,,,499500.0,0.0,12/31/2022,21700.0,0.0,2022,H
18,H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",O,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71611.13,0.0,AL,1.0,,,,,,0.0,0.0,03/31/2021,0.0,0.0,2021,H
19,H0AL02202,"HARVEY-HALL, PHYLLIS",C,1,DEM,60238.24,0.0,60204.67,0.0,0.0,33.57,0.0,7823.0,0.0,0.0,0.0,1200.0,48734.06,AL,2.0,,,,,,350.0,3331.18,11/28/2022,0.0,0.0,2022,H
20,H2AL02166,"PATEL, VIMAL",C,1,DEM,61099.81,0.0,59812.13,0.0,0.0,1287.68,17265.0,12811.0,0.0,0.0,0.0,12811.0,31023.81,AL,2.0,,,,,,0.0,0.0,06/30/2022,0.0,0.0,2022,H
21,H0AL02087,"ROBY, MARTHA",I,2,REP,2500.0,0.0,47712.24,0.0,45212.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AL,2.0,,,,,,0.0,0.0,06/30/2021,0.0,0.0,2021,H
