,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,year,cand_type
1055,S4IA00103,"YOUNG, DAVID",O,2,REP,17554.83,0.0,26316.78,0.0,87850.58,79088.63,0.0,0.0,0.0,0.0,0.0,197500.0,25.0,IA,3.0,,,,,,0.0,0.0,12/31/2022,5002.64,0.0,2022,S
3489,S2AK00184,"GRAY-JACKSON, ELVI",C,1,DEM,161518.33,0.0,161518.33,0.0,0.0,0.0,17376.98,0.0,0.0,0.0,0.0,0.0,141874.68,AK,0.0,,,,,,0.0,0.0,04/13/2022,5935.0,0.0,2022,S
3490,S2AK00226,"CHESBRO, PATRICIA",C,1,DEM,188577.24,0.0,180946.8,0.0,0.0,7630.44,9131.42,0.0,0.0,0.0,0.0,0.0,178485.81,AK,0.0,,,,,,300.0,500.0,12/31/2022,253.3,300.0,2022,S
3491,S2AK00127,"TSHIBAKA, KELLY",C,2,REP,6011431.63,191714.4,5960179.68,739.2,0.0,51251.95,0.0,0.0,0.0,0.0,0.0,1814.44,5733782.02,AK,0.0,,,,,,73150.5,1500.0,12/31/2022,37734.0,1500.0,2022,S
3492,S4AK00099,"MURKOWSKI, LISA",I,2,REP,9319257.3,818871.97,9685516.06,0.0,1023945.22,657686.46,0.0,0.0,0.0,0.0,0.0,0.0,5813100.3,AK,0.0,,,,,,2626699.99,51200.0,12/31/2022,32937.5,3500.0,2022,S
3493,S4AK00214,"SULLIVAN, DAN",I,2,REP,705156.15,22140.51,532255.83,0.0,731743.02,904643.34,0.0,0.0,0.0,0.0,0.0,0.0,528027.21,AK,0.0,,,,,,143750.0,0.0,12/31/2022,275.0,2500.0,2022,S
3494,S2AK00176,"STEPHENS, JOE TRUMP AKA NOT MURKOWSKI",C,3,AKI,70.76,0.0,70.76,0.0,0.0,0.0,70.76,0.0,0.0,0.0,0.0,0.0,0.0,AK,0.0,,,,,,0.0,0.0,12/31/2022,0.0,0.0,2022,S
3495,S0AK00196,"GROSS, AL DR.",C,3,IND,419635.43,7615.67,446466.29,175216.9,26830.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.02,AK,0.0,,,,,,0.0,0.0,09/30/2022,508.34,0.0,2022,S
3496,S2AK00218,"GUNGURSTEIN, SHOSHANA",C,3,IND,32700.0,0.0,32479.91,0.0,0.0,-44.0,5200.0,18900.0,0.0,0.0,0.0,0.0,8300.0,AK,0.0,,,,,,0.0,0.0,11/11/2022,0.0,0.0,2022,S
3497,S0AK00121,"MILLER, JOSEPH W",C,3,LIB,1.87,0.0,41.79,0.0,55099.87,55064.67,0.0,0.0,0.0,0.0,0.0,35152.73,0.0,AK,0.0,,,,,,0.0,0.0,09/30/2022,0.0,0.0,2022,S
