,CAND_ID,CAND_NAME,CAND_ICI,PTY_CD,CAND_PTY_AFFILIATION,TTL_RECEIPTS,TRANS_FROM_AUTH,TTL_DISB,TRANS_TO_AUTH,COH_BOP,COH_COP,CAND_CONTRIB,CAND_LOANS,OTHER_LOANS,CAND_LOAN_REPAY,OTHER_LOAN_REPAY,DEBTS_OWED_BY,TTL_INDIV_CONTRIB,CAND_OFFICE_ST,CAND_OFFICE_DISTRICT,SPEC_ELECTION,PRIM_ELECTION,RUN_ELECTION,GEN_ELECTION,GEN_ELECTION_PRECENT,OTHER_POL_CMTE_CONTRIB,POL_PTY_CONTRIB,CVG_END_DT,INDIV_REFUNDS,CMTE_REFUNDS,year,cand_type
1,H6AK00045,"YOUNG, DONALD E",I,2,REP,1950289.86,138304.94,1817836.79,0.0,116720.12,249173.19,0.0,0.0,0.0,0.0,0.0,0.0,963416.04,AK,0.0,,,,,,839094.63,500.0,12/31/2020,19609.67,5500.0,2020,H
3,H8AK00140,"GALVIN, ALYSE",C,3,IND,5253251.54,60024.76,5162902.93,0.0,6245.09,96593.7,4371.82,0.0,0.0,0.0,0.0,0.0,4796137.47,AK,0.0,,,,,,340486.99,10025.0,12/31/2020,32594.02,0.0,2020,H
4,H0AL01097,"AVERHART, JAMES",O,1,DEM,80094.95,0.0,78973.24,0.0,0.0,1121.71,0.0,29245.0,0.0,0.0,0.0,29245.0,50849.95,AL,1.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
5,H0AL01105,"GARDNER, KIANI A",O,1,DEM,118661.85,0.0,118661.85,0.0,0.0,0.0,764.97,6000.0,0.0,138.91,0.0,5861.09,92896.88,AL,1.0,,,,,,19000.0,0.0,07/31/2020,0.0,0.0,2020,H
6,H0AL01139,"COLLINS, FREDERICK G. RICK'",O,1,DEM,62935.42,0.0,60825.97,0.0,0.0,2109.45,56500.0,0.0,0.0,0.0,0.0,0.0,5917.12,AL,1.0,,,,,,0.0,0.0,07/14/2020,0.0,0.0,2020,H
7,H0AL01055,"CARL, JERRY LEE, JR",O,2,REP,2344516.53,102070.05,2232543.94,0.0,0.0,111972.59,1655.5,758900.0,0.0,325900.0,0.0,469225.79,1044195.95,AL,1.0,,,,,,387000.0,5000.0,12/31/2020,1600.0,0.0,2020,H
8,H0AL01063,"LAMBERT, DOUGLAS WESTLEY III",O,2,REP,182564.96,0.0,182564.96,0.0,0.0,0.0,47804.96,110000.0,0.0,38388.87,0.0,71611.13,20760.0,AL,1.0,,,,,,4000.0,0.0,12/31/2020,0.0,0.0,2020,H
9,H0AL01071,"PRINGLE, CHRISTOPHER PAUL",O,2,REP,491715.7,0.0,491715.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,464115.7,AL,1.0,,,,,,27600.0,0.0,06/17/2020,1300.0,5000.0,2020,H
10,H0AL01089,"HIGHTOWER, BILL",O,2,REP,1323944.09,0.0,1323944.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268756.68,AL,1.0,,,,,,53200.0,0.0,09/30/2020,43860.0,0.0,2020,H
11,H0AL01121,"CASTORANI, JOHN",O,2,REP,26809.68,0.0,26809.68,0.0,0.0,0.0,0.0,15159.68,0.0,8600.0,0.0,6559.68,11650.0,AL,1.0,,,,,,0.0,0.0,12/03/2020,0.0,0.0,2020,H
13,H0AL02202,"HARVEY-HALL, PHYLLIS",O,1,DEM,57722.77,11.32,57661.16,0.0,0.0,0.0,0.0,12248.5,0.0,1673.09,0.0,5666.91,42411.95,AL,2.0,,,,,,2032.0,1019.0,12/31/2020,0.0,0.0,2020,H
14,H6AL02167,"MATHIS, NATHAN",O,1,DEM,12230.0,0.0,12230.0,0.0,0.0,0.0,12230.0,0.0,0.0,0.0,0.0,0.0,12230.0,AL,2.0,,,,,,0.0,0.0,03/03/2020,0.0,0.0,2020,H
15,H0AL02087,"ROBY, MARTHA",I,2,REP,216297.5,0.0,512768.27,0.0,341683.01,45212.24,0.0,0.0,0.0,0.0,0.0,0.0,53800.0,AL,2.0,,,,,,161500.0,0.0,12/31/2020,54914.76,12615.38,2020,H
17,H0AL02145,"COLEMAN, JEFF",O,2,REP,2615977.24,0.0,2615977.24,0.0,0.0,0.0,4129.49,1125000.0,0.0,0.0,0.0,0.0,1241814.56,AL,2.0,,,,,,231000.0,0.0,12/31/2020,9214.0,12000.0,2020,H
18,H0AL02152,"KING, TROY",O,2,REP,286727.66,0.0,283699.45,0.0,0.0,3028.21,3614.26,0.0,0.0,0.0,0.0,43313.84,272113.4,AL,2.0,,,,,,11000.0,0.0,12/31/2020,22750.0,0.0,2020,H
19,H0AL02160,"BROWN, THOMAS WILLIAM JR.",O,2,REP,22950.0,0.0,22417.46,0.0,0.0,532.54,0.0,17950.0,0.0,0.0,0.0,17950.0,5000.0,AL,2.0,,,,,,0.0,0.0,03/31/2020,0.0,0.0,2020,H
20,H0AL02178,"TAYLOR, JESSICA",O,2,REP,476139.02,3351.7,476139.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,439304.12,AL,2.0,,,,,,29505.0,0.0,09/09/2020,28760.0,0.0,2020,H
21,H0AL02194,"HASDORFF, TERRI",O,2,REP,82156.0,0.0,82156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82156.0,AL,2.0,,,,,,0.0,0.0,03/31/2020,16800.0,0.0,2020,H
22,H6AL02159,"ROGERS, ROBERT L",O,2,REP,29593.11,0.0,22964.09,250.0,0.0,1014.28,29338.66,0.0,0.0,0.0,0.0,0.0,254.32,AL,2.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
24,H8AL02171,"MOORE, FELIX BARRY",O,2,REP,837715.85,0.0,836276.8,0.0,4927.67,6366.72,0.0,190900.0,0.0,179400.0,0.0,121742.79,408536.2,AL,2.0,,,,,,230281.65,7998.0,12/31/2020,7509.1,0.0,2020,H
28,H8AL03062,"WINFREY, ADIA",C,1,DEM,50523.2,0.0,41221.09,0.0,0.0,43.31,700.0,250.0,300.0,250.0,0.0,0.0,46912.89,AL,3.0,,,,,,107.97,2252.34,12/31/2020,0.0,0.0,2020,H
29,H2AL03032,"ROGERS, MICHAEL",I,2,REP,1202888.07,0.0,1228340.4,365530.0,527686.03,502233.7,0.0,0.0,0.0,0.0,0.0,0.0,443369.0,AL,3.0,,,,,,744733.7,8000.0,12/31/2020,5100.0,0.0,2020,H
30,H8AL04086,"NEIGHBORS, RICKY",C,1,DEM,48942.68,0.0,47908.58,0.0,0.0,1034.1,1980.86,1800.0,0.0,0.0,0.0,1800.0,33021.97,AL,4.0,,,,,,9504.55,60.51,12/31/2020,300.0,0.0,2020,H
31,H6AL04098,"ADERHOLT, ROBERT B. REP.",I,2,REP,1283402.11,0.0,1352138.08,0.0,715740.36,647004.39,0.0,0.0,0.0,0.0,0.0,0.0,541121.78,AL,4.0,,,,,,739300.0,0.0,12/31/2020,27576.0,0.0,2020,H
33,H0AL05163,"BROOKS, MO",I,2,REP,669026.33,0.0,223706.66,2000.0,692181.51,1137501.18,0.0,0.0,0.0,0.0,0.0,4746.67,417354.83,AL,5.0,,,,,,250020.0,0.0,12/31/2020,10500.0,2500.0,2020,H
34,H0AL05205,"LEWIS, CHRIS",C,2,REP,167746.86,0.0,166737.31,0.0,0.0,1009.55,3.25,29500.0,0.0,3000.0,0.0,61744.83,122467.86,AL,5.0,,,,,,15000.0,0.0,12/31/2020,1250.0,0.0,2020,H
36,H4AL06098,"PALMER, GARY",I,2,REP,919678.33,50948.78,921541.75,2000.0,372551.28,370687.86,0.0,0.0,0.0,0.0,0.0,0.0,469170.0,AL,6.0,,,,,,397600.0,0.0,12/31/2020,13200.0,-2700.0,2020,H
37,H0AL07086,"SEWELL, TERRI A.",I,1,DEM,2171039.72,0.0,1498831.85,0.0,1571272.38,2243480.25,0.0,0.0,0.0,0.0,0.0,0.0,407562.27,AL,7.0,,,,,,1760802.74,0.0,12/31/2020,200.0,0.0,2020,H
38,H6AL07166,"WALTERS, EDDISON T",O,1,DEM,0.0,0.0,1291.5,0.0,1291.5,0.0,0.0,0.0,0.0,1177.8,0.0,10164.85,0.0,AL,7.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
39,H0AR01109,"CAUSEY, CHAD",O,1,DEM,0.0,0.0,600.0,0.0,331.59,181.59,0.0,0.0,0.0,0.0,0.0,112037.3,0.0,AR,1.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
40,H0AR01083,"CRAWFORD, ERIC ALAN RICK",I,2,REP,966801.25,5072.23,1095517.53,46000.0,311424.52,182708.24,0.0,0.0,0.0,0.0,0.0,0.0,405293.4,AR,1.0,,,,,,556335.62,100.0,12/31/2020,0.0,0.0,2020,H
41,H0AR01125,"SMITH, PRINCELLA D",O,2,REP,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,1.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
42,H0AR02206,"ELLIOTT, JOYCE ANN SENATOR",C,1,DEM,3543886.52,0.0,3540156.67,0.0,0.0,3729.85,100.0,10000.0,0.0,10000.0,0.0,0.0,3146457.55,AR,2.0,,,,,,373403.13,11610.0,12/31/2020,49613.49,1200.0,2020,H
43,H8AR02142,"COMBS, GWENDOLYNN MILLEN MRS.",C,1,DEM,0.0,0.0,2456.03,0.0,2456.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AR,2.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
44,H8AR02159,"TUCKER, EVERETT CLARKE IV",C,1,DEM,99.99,0.0,4219.51,0.0,7756.41,3636.89,0.0,0.0,0.0,0.0,0.0,4500.0,0.0,AR,2.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
45,H4AR02141,"HILL, JAMES FRENCH",I,2,REP,3423234.37,144152.08,3059235.64,0.0,46780.63,410779.36,0.0,0.0,0.0,0.0,0.0,0.0,1700705.98,AR,2.0,,,,,,1531281.6,8400.0,12/31/2020,50.0,0.0,2020,H
46,H0AR03030,"WHITAKER, DAVID JEFFREY",O,1,DEM,0.0,0.0,0.0,0.0,3367.43,3367.43,0.0,0.0,0.0,0.0,0.0,18457.09,0.0,AR,3.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
47,H0AR03105,"WILLIAMS, CELESTE SARENE",C,1,DEM,356059.69,0.0,356059.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339611.09,AR,3.0,,,,,,4500.0,11183.33,11/30/2020,0.0,0.0,2020,H
49,H0AR03055,"WOMACK, STEVE",I,2,REP,1128158.85,0.0,924120.94,0.0,1159218.79,1363256.7,0.0,0.0,0.0,0.0,0.0,0.0,548980.0,AR,3.0,,,,,,568221.3,0.0,12/31/2020,0.0,0.0,2020,H
50,H2AR03143,"HENDREN, JAMES PAUL",C,2,REP,0.55,0.0,0.0,0.0,93.06,93.61,0.0,0.28,0.27,0.0,0.0,450142.7,0.0,AR,3.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
52,H0AR04087,"HANSON, WILLIAM MR.",C,1,DEM,109767.15,0.0,111682.66,0.0,0.0,-1915.51,0.0,0.0,70100.0,0.0,0.0,70100.0,39667.15,AR,4.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
53,H2AR04133,"HURST, Q. BYRUM JR",O,1,DEM,0.0,0.0,0.0,0.0,20.61,20.61,0.0,0.0,0.0,0.0,0.0,8982.22,0.0,AR,4.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
54,H8AR04130,"SHAMEL, HAYDEN CATHERINE",C,1,DEM,1506.23,0.0,3311.33,0.0,2197.18,112.18,1371.85,0.0,0.0,0.0,0.0,0.0,0.0,AR,4.0,,,,,,0.0,0.0,09/30/2020,0.0,0.0,2020,H
55,H2AR04083,"COTTON, THOMAS",C,2,REP,9139904.91,1461076.82,4842303.46,0.0,2099351.54,6396952.99,0.0,0.0,0.0,0.0,0.0,73959.0,6395452.56,AR,4.0,,,,,,1171770.0,200.0,12/31/2020,84420.56,5000.0,2020,H
56,H4AR04048,"WESTERMAN, BRUCE",I,2,REP,1428508.39,4167.0,1123311.93,2000.0,671609.55,976806.01,0.0,0.0,0.0,0.0,0.0,0.0,667948.54,AR,4.0,,,,,,748630.35,0.0,12/31/2020,13700.0,1000.0,2020,H
58,H0AS01016,"CRICHTON, ORETA TUFAGA-MAPU",C,1,DEM,36273.0,0.0,20451.12,0.0,0.0,15821.88,11610.0,0.0,0.0,0.0,0.0,0.0,24663.0,AS,0.0,,,,,,0.0,0.0,10/14/2020,0.0,0.0,2020,H
59,H4AS00036,"AMATA, AUMUA",I,2,REP,75727.21,0.0,76126.16,0.0,916.98,518.03,0.0,0.0,0.0,0.0,0.0,0.0,53927.21,AS,0.0,,,,,,21400.0,400.0,12/31/2020,0.0,0.0,2020,H
60,H0AZ01358,"PUTZOVA, EVA",C,1,DEM,419049.5,0.0,398166.24,0.0,0.0,20883.26,524.44,0.0,0.0,0.0,0.0,0.0,415741.13,AZ,1.0,,,,,,0.0,285.0,12/31/2020,4816.32,0.0,2020,H
61,H6AZ01199,"O'HALLERAN, TOM",I,1,DEM,3416902.11,123156.18,3359686.85,0.0,5931.95,63147.21,0.0,0.0,0.0,0.0,0.0,0.0,1832125.24,AZ,1.0,,,,,,1434693.84,9950.92,12/31/2020,18072.73,4500.0,2020,H
62,H0AZ01366,"TAYLOR, CHRIS",C,2,REP,28872.83,0.0,28699.86,0.0,0.0,172.97,0.0,0.0,0.0,0.0,0.0,23297.57,28872.83,AZ,1.0,,,,,,0.0,0.0,06/30/2020,0.0,0.0,2020,H
63,H0AZ01390,"MOORE, JOHN WILLIAM",C,2,REP,8120.56,0.0,5792.43,0.0,2750.0,5078.13,0.0,0.0,0.0,0.0,0.0,0.0,8120.56,AZ,1.0,,,,,,0.0,0.0,03/31/2020,0.0,0.0,2020,H
64,H0AZ01408,"REIDHEAD, NOLAN QUINN MR",C,2,REP,124695.15,0.0,141262.66,0.0,0.0,-2634.52,32847.95,16200.0,0.0,0.0,0.0,15600.0,75558.16,AZ,1.0,,,,,,0.0,0.0,09/30/2020,10700.0,0.0,2020,H
65,H0AZ01424,"SHAMLEY, DOYEL",C,2,REP,4887.57,0.0,4887.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4887.57,AZ,1.0,,,,,,0.0,0.0,06/30/2020,0.0,0.0,2020,H
66,H2AZ01172,"RENZI, RICHARD G.",I,2,REP,0.0,0.0,0.0,0.0,1244.79,1244.79,0.0,0.0,0.0,0.0,0.0,456157.37,0.0,AZ,1.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
68,H4AZ01145,"KIEHNE, GARY",C,2,REP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,AZ,1.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
71,H8AZ01229,"SMITH, STEVE",C,2,REP,0.0,0.0,186.37,0.0,186.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,1.0,,,,,,0.0,0.0,02/07/2020,0.0,0.0,2020,H
72,H8AZ01237,"SHEDD, TIFFANY",C,2,REP,1715148.4,175186.94,1655234.73,44242.39,3433.46,63347.13,6565.73,102340.37,0.0,36200.0,0.0,295140.37,1162725.27,AZ,1.0,,,,,,257700.0,10115.5,12/31/2020,2815.75,0.0,2020,H
74,H0AZ02281,"QUILTER, PETER",C,1,DEM,17806.0,0.0,15532.53,2001.0,0.0,1816.0,0.0,0.0,0.0,0.0,0.0,0.0,17856.0,AZ,2.0,,,,,,0.0,0.0,12/31/2020,300.0,0.0,2020,H
75,H8AZ01104,"KIRKPATRICK, ANN",I,1,DEM,1898759.09,1107.63,1433662.33,0.0,72191.25,537288.01,0.0,0.0,0.0,0.0,0.0,0.0,1182656.78,AZ,2.0,,,,,,690001.0,0.0,12/31/2020,23737.23,166.67,2020,H
76,H8AZ02136,"HEINZ, MATTHEW GERALD",O,1,DEM,0.0,0.0,500.0,0.0,500.0,0.0,0.0,0.0,0.0,0.0,0.0,250000.0,0.0,AZ,2.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
78,H0AZ02174,"WADSACK, JUSTINE LOUISE",C,2,REP,17427.68,0.0,17329.65,0.0,0.0,98.03,0.0,7370.82,0.0,0.0,0.0,7370.82,9480.0,AZ,2.0,,,,,,0.0,0.0,03/31/2020,0.0,0.0,2020,H
79,H0AZ02182,"MORGAN, JOSEPH DAVID",C,2,REP,33382.2,0.0,33000.3,0.0,0.0,556.91,364.54,0.0,0.0,0.0,0.0,0.0,32921.66,AZ,2.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
80,H0AZ02190,"MARTIN, BRANDON RAY",C,2,REP,387348.15,0.0,387527.04,0.0,0.0,-178.89,0.0,0.0,0.0,0.0,0.0,0.0,381279.68,AZ,2.0,,,,,,6000.0,0.0,12/31/2020,5220.0,0.0,2020,H
82,H0AZ02232,"STAUTZ, SHAY",C,2,REP,245212.74,0.0,238623.51,0.0,0.0,6589.23,0.0,106938.76,0.0,0.0,0.0,106938.76,138273.98,AZ,2.0,,,,,,0.0,0.0,12/31/2020,29710.0,0.0,2020,H
83,H0AZ02265,"RUDEN, NORAN ERIC",C,2,REP,304518.3,0.0,303730.21,0.0,0.0,788.09,131851.8,100000.0,0.0,0.0,0.0,0.0,70396.11,AZ,2.0,,,,,,2250.0,0.0,09/30/2020,11913.34,0.0,2020,H
84,H2AZ08102,"MCSALLY, MARTHA",I,2,REP,0.0,0.0,66813.25,1998.43,66813.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,2.0,,,,,,0.0,0.0,12/31/2020,-23611.25,0.0,2020,H
86,H8AZ02201,"MARTIN, BRANDON RAY",O,2,REP,387348.15,0.0,387527.04,0.0,0.0,-178.89,0.0,0.0,0.0,0.0,0.0,0.0,381279.68,AZ,2.0,,,,,,6000.0,0.0,12/31/2020,5220.0,0.0,2020,H
88,H2AZ07070,"GRIJALVA, RAUL M",I,1,DEM,879340.53,16026.11,691287.6,0.0,38155.74,226208.67,0.0,0.0,0.0,0.0,0.0,4015.59,589160.21,AZ,3.0,,,,,,264094.54,0.0,12/31/2020,22918.7,3000.0,2020,H
90,H0AZ03461,"WOOD, DANIEL",C,2,REP,41941.53,0.0,42480.94,0.0,0.0,-539.41,0.0,0.0,0.0,0.0,0.0,352.86,35141.53,AZ,3.0,,,,,,6800.0,0.0,12/31/2020,519.14,0.0,2020,H
91,H6AZ03179,"SAN MIGUEL, EDNA",C,2,REP,0.0,0.0,0.0,0.0,2583.43,2583.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,AZ,3.0,,,,,,0.0,0.0,12/31/2020,0.0,0.0,2020,H
93,H0AZ04519,"STARKY, STUART",C,1,DEM,5784.0,0.0,7359.75,0.0,23.0,997.0,252.0,0.0,0.0,0.0,0.0,0.0,2932.0,AZ,4.0,,,,,,0.0,2500.0,08/05/2020,0.0,0.0,2020,H
95,H8AZ04165,"DISANTO, DELINA",C,1,DEM,77167.5,0.0,79757.81,0.0,0.0,5973.88,0.0,0.0,0.0,0.0,0.0,34504.93,73586.11,AZ,4.0,,,,,,1072.25,2503.09,12/31/2020,0.0,0.0,2020,H
